source,hypothesis,reference
The Connected Planet – Looking at Biodiversity,Le monde connecté – Le point sur la biodiversité,La Plan&egravete branch&eacutee – Regard sur la biodiversité
• An Integrated Public Safety Toolkit,• Une trousse d'outils de sécurité intégrée,"• Prévenir et faire baisser la criminalité chez les jeunes, qu'ils soient victimes ou contrevenants"
(part of Canadian Shipbuilding and Engineering Ltd.),(partie de Canadian Shipbuilding and Engineering Ltd.),• Chantier Naval Matane
Exposure times of longer than 10-hours are not permitted.,Il est interdit d'exposer les travailleurs aux temps de plus de 10 heures.,Les périodes d’exposition supérieures à 10 heures ne sont pas permises.
"Veterans Affairs – Operating expenditures, upkeep of property, including","Agriculture et Agroalimentaire Canada – Dépenses de fonctionnement,",Pêches et Océans – Dépenses de fonctionnement et :
"• Canadian High Commission, Pretoria","• Haut-commissariat du Canada, Pretoria","• Ambassade du Canada, Khartoum Swaziland"
Penalties for very serious offences can go up to $1million.,Les peines encourues pour des infractions très graves peuvent aller jusqu'à 1 million de dollars.,Les sanctions pour des infractions très graves peuvent atteindre 1 000 000 $.
EU-UN cooperation 296.,Coopération UE-ONU 296.,Coopération avec les Nations unies 296.
"Furthermore, while this is a substantial investment, it is by no means the end of the story.","En outre, bien que cet investissement soit important, il ne s'agit pas du dernier chapitre.","Il s'agit d'un investissement substantiel, mais il n'est pas question de nous arrêter là."
"[14] Following this training, he applied for a summer job with the respondent.","[14] Après cette formation, il a demandé un emploi d'été avec l'intimé.","[14] Suite à ce stage, il a fait une demande pour un emploi d'été auprès de l'intimée."
Towards a comprehensive European migration policy COM(2006)0735 Responsible:,Towards a comprehensive European migration policy COM(2006)0735 Responsable:,Vers une politique européenne de la migration exhaustive COM(2006)0735 Fond:
This represents a significant improvement over previous years.,Ceci représente une amélioration importante par rapport aux années précédentes.,Il s’agit là d’une amélioration considérable par rapport aux années antérieures.
"• Mr. Gord Symonds, Radiation Protection Bureau, Health Canada","• M. Gord Symonds, Bureau de la protection contre les rayonnements, Santé Canada","• M. Gord Symonds, Bureau de la radioprotection, Santé Canada"
"• Ms. C. Dalpé, Health Canada","• Mme C. Dalpé, Santé Canada","• Mme C. Dalpé, Santé Canada"
Resistance to change is normal.,La résistance au changement est normale.,La résistance au changement est normale.
• Joint Learning Program,• Programme d'apprentissage conjoint,• Prix et reconnaissance
3% 1% AU/NZ,3% 1% OCAN,10 % 5% 3 %2 % Europe Asie
◦ 43 interviews with a range of participants and stakeholders in the Program.,◦ 43 entrevues avec des participants et des intervenants du Programme.,◦ 43 entrevues auprès de divers participants et intervenants du Programme.
• 98.4% overall satisfaction rating,"• 98,4 % des répondants sont d'accord avec l'ensemble des questions","• 98,4 % des personnes interrogées se sont dites généralement satisfaites"
"Multiple logos water down corporate identity, and programs and activities come and go.","L'identité de marque est minée par l'affichage de plusieurs logos, et les programmes et activités sont éphémères.",En multipliant les logos on ne fait que brouiller l’image de marque du Centre.
"Immigrant Population"" Statistics Canada, 2003.","Immigrant Population », Statistique Canada, 2003.","Population des immigrants Statistique Canada, 2003."
They are far from being solved and we will continue to grapple with them for the foreseeable future.,Nous ne les avons pas encore résolus et nous continuerons à les aborder pendant un certain temps.,Elles sont loin d’être résolues et nous ne sommes pas près d’en avoir fini avec elles.
"Jacques Toubon, Malcolm Harbour, Cornelis Brekelmans (Commission representative) 5.","Jacques Toubon, Malcolm Harbour, Cornelis Brekelmans (représentant de la Commission) 5.","Jacques Toubon, Malcolm Harbour, Cornelis Brekelmans (représentant la Commission) 5."
• Technological • Environmental,• Techniques • Environnement,• L'envergure des programmes existants (pour qu'il n'y ait pas dédoublement).
"Security Agreement dated as of September 4, 1998, of The First National Bank of Maryland.","Agreement de sécurité daté du 4 septembre 1998, de The First National Bank of Maryland.",Contrat de garantie en date du 4 septembre 1998 de The First National Bank of Maryland.
"Due annually on October 15, based on a census date of September 30 for the current school year.","Taxe annuelle due le 15 octobre, fondée sur la date de recensement du 30 septembre pour l’année scolaire actuelle.",< Préciser l’année du programme que termine actuellement l’étudiant.
It’s just one more way that WD is helping to strengthen communities and build a stronger West.,C’est une autre façon que DEO d’aider à renforcer les collectivités et à renforcer l’Ouest.,Voilà un autre moyen que se donne DEO d’aider les collectivités et de renforcer l’Ouest.
Official Languages in Canada Official Languages in Canada in 2006,Langues officielles au Canada Langues officielles au Canada en 2006,AGIR POUR L’AVENIR ANNEXE A :Les langues officielles au Canada
Name of Financial Institution 4.,Nom de l'institution financière 4.,Nom de l'institution financière 4.
"Federal Mediation and Conciliation Services Transactional 7.0 4,000 25 0 0 0 75","Services fédéraux de médiation et de conciliation Services de médiation et de conciliation 7,0 4 000 25 0 0 0 75",Services canadiens de médiation et de conciliation Transactionnel 7.0 4 000 25 0 0 0 75
A participant may switch between the ICMS and formal process(es) at any time.,Un participant peut passer d’un mode à l’autre à tout moment.,Un participant peut passer du SGIC à un ou plusieurs processus formels à n'importe quel moment.
• United Nations Environment Programme Geneva Executive Center Switzerland,"• Programme des Nations Unies pour l’Environnement Genève, Suisse",• United Nations Environment Programme Geneva Executive Center Switzerland
"Learn about life conditions, hygiene and dress code of soldiers in New-France.","Apprenez les conditions de vie, la hygiène et le code vestimentaire des soldats de la Nouvelle-France.",Avez-vous l'étoffe d'un soldat?
Historical statistics of Canada.,"Historical statistics of Canada. Ottawa, 1982.",Statistiques historiques du Canada.
1.6.1 A formal training plan has not been established for the LES.,1.6.1 Il n'existe pas de plan formel de formation pour les RES.,1.6.1 Aucun plan de formation officiel n’a été mis au point pour les ERP.
"Maximum grants are $20,000.",La subvention maximale est de 20 000 $.,Le montant maximal des subventions est de 20 000 $.
How effective is the training in the DDS program?,Comment la formation du programme DDS est-elle efficace?,Dans quelle mesure la formation offerte dans le cadre du programme du SCD est-elle efficace?
A similar glaze of ice can be caused by sea smoke.,Un brouillard de mer peut provoquer une couche de glace semblable.,Le brouillard peut créer une couche de glace semblable.
Prisoners charged with breaking prison rules had their food cut even further.,Les détenus accusés de violer les règles de la prison avaient leur ration de nourriture coupée encore plus.,Les prisonniers accusés de transgresser le règlement voient leur ration alimentaire encore diminuée.
This position was in addition to the existing AS-04 Contracting Advisor.,Ce poste a été ajouté au poste existant d’AS-04 Conseiller en achats.,Ce poste s’ajoutait à celui de conseiller en marchés de services (AS-04).
DATA PROCESSING Data Conversion B.M.P.D. No. 1 1,TRAITEMENT DES DONNÉES Conversion numérique No 1 1,TRAITEMENT DES DONNÉES Conversion des données D. P.-R. no 1 1 % du temps
Parliament made a number of suggestions in these documents.,Le Parlement a fait plusieurs suggestions dans ces documents.,"Par le biais des documents susmentionnés, le Parlement européen a formulé certaines suggestions."
The amount you transfer is considered a contribution to the RRSP.,Le montant que vous transférez compte pour un contrribution à un REER.,Les titres ne peuvent pas être inscrits à votre nom.
"However, the current process has several shortcomings.","Toutefois, le processus actuel présente plusieurs inconvénients.","Toutefois, le processus actuel affiche plusieurs points faibles."
Thus the confusion when a group of individuals gather to discuss competencies.,C’est ainsi que la confusion quand un groupe de personnes se réunit pour discuter des compétences.,D’où la confusion qui règne lorsque des personnes se réunissent pour discuter des compétences.
Canada’s International Market Access Report – 2007,Rapport d’accès aux marchés internationaux du Canada – 2007,Rapport du Canada en matière d’accès aux marchés internationaux – 2007
A tiered approach to aquatic exposure assessment has been fully implemented.,Une approche à trois niveaux de l'évaluation de l'exposition aquatique a été pleinement mise en oeuvre.,Un nouveau projet de l'ALENA sur la cinétique de la dégradation a été lancé.
"If resources are granted, they will be programmed through the CSS and the IP.","Si les ressources sont accordées, elles seront programmées par le biais du SCS et de l’IP.","Si les ressources sont accordées, elles sont programmées via la SCN et le PI."
"• Atlantic Swordfish Fishery Opens June 1 NR-HQ-97-29E - May 29, 1997",• Le poisson à l'aréole ouvre le 1er juin C-AC-97-29F - 29 mai 1997,• La pêche de l'espadon ouvre le 1er juin dans l'Atlantique  C-AC-97-29F - 29 mai 1997
"Parliamentary Restaurant, House of Commons, Ottawa, ON Total: $184.15","Restaurant parlementaire, Chambre des communes, Ottawa (Ontario) Total : 184,15 $","Restaurant parlementaire, Chambre des communes, Ottawa (Ontario) Total : 184,15 $"
Results of its efforts to date in this regard include the following:,Les résultats de ses efforts en ce sens sont les suivants :,Les résultats obtenus jusqu’ici dans ce domaine sont notamment les suivants :
"• ""I’m more articulate, confident about my knowledge.",• « Je suis plus articulé et plus confiant de ma connaissance.,"• « Je m’exprime mieux, je suis plus sûr de mes connaissances."
54 months following the date of entry into force of this Directive.,54 mois à compter de la date d'entrée en vigueur de la présente directive.,Cinquante-quatre mois après la date d'entrée en vigueur de la présente directive.
"For the years 2004-2006, the tariff rate will be reduced to 9.7%, 8.6%, and 7.5% respectively.","Pour les années 2004-2006, le taux de droit sera réduit à 9,7 %, 8,6 % et 7,5 % respectivement.","Pour les années 2004, 2005 et 2006, le tarif baissera à 9,7 %, 8.6 % et 7,5 % respectivement."
"Prey and reproduction in a metapopulation decline among Swainson’s Hawks, Buteo swainsoni.","Prey and reproduction in a metapopulation decline among Swainson's Hawks, Buteo swainsoni », J. Field Ornithol., vol.",Comité sur le statut des espèces menacées de disparition au Canada.
Ba Inu vik,Ba Inu vik [1],LA
Ulkatcho Indian Band's Culture Program Youth fieldtrip and community dinner.,Ulkatcho Indian Band's Culture Program Voyage de jeunes et dîner communautaire.,Programme de culture de la bande d’Ulkatcho's Excursion pour les jeunes et souper communautaire.
"January 11, 2007 MARIA BARRADOS President [3-1-o] Footnote a S.C. 2005, c.","Le 11 janvier 2007 LA PRÉSIDENTE MARIA BARRADOS [3-1-o] Référence a L.C. 2005, ch.","Le 11 janvier 2007 La présidente  MARIA BARRADOS [3-1-o] Référence a L.C. 2005, ch."
"Fact Sheets on Sweden, The Swedish Institute, August 2001.","Sweden, The Swedish Institute, août 2001.","Fact Sheets on Sweden, The Swedish Institute, août 2001."
"Reproduced in 1 U.S. Corps Periodic Intelligence Report No. 101, 11 Apr 51.","Reproduit dans le 101e Rapport d’Intelligence Periodique des U.S. Corps, 11 avril 1951.","Rapport n° 25 de la Mission militaire canadienne en Extrême-Orient, 29 mars 1951."
25/01/1965 Doc.1863 | Report Composition of the Bureau of the Assembly,25/01/1965 Doc.1863 | Rapport Composition du Bureau de l’Assemblée,21/09/1962 Doc.1511 | Avis Présentation des rapports des commissions
• Supervisory Information (Bank Holding Companies) Regulations,• Règlement sur les renseignements relatifs aux sociétés de banques,• Règlement sur les renseignements relatifs à la supervision des sociétés de portefeuille bancaires
It could not be allowed to secede.,Ce n’est pas un argument de poids.,"Dans certaines zones, on observe une partition de fait."
Deposition probably occurred within a marine rather than lacustrine basin.,La dépôt aurait eu lieu dans un bassin marin plutôt qu'un bassin lacustre.,Ces sédiments se sont probablement accumulés dans un bassin marin plutôt que lacustre.
Eclectic Medical Publications; 1983 [Reprint of 1898 original].,Eclectic Medical Publications; 1983 [Réimpression de l'original de 1898].,Eclectic Medical Publications; 1983 [Réimpression de l’original imprimé en 1898].
The problem of the separatist region of Transdniestria 3.,Le problème de la séparation de la région de Transdniestria 3.,. Adopté par la commission à l'unanimité le 11 mai 2005.
It was unfair to assess her in the light of the experience requirement alone.,Il était injuste de la juger en fonction uniquement de l’expérience.,Il était injuste de ne pas l’avoir évaluée en fonction des critères autres que l’expérience.
- 30 - FOR MORE INFORMATION Theresa Nichols DFO Communications (403) 292-6599,- 30 - POUR DE PLUS D'INFORMATION Theresa Nichols DFO Communications (403) 292-6599,- 30 - POUR PLUS D'INFORMATION Theresa Nichols Communications MPO (403) 292-6599
• CCME National Classification System for Contaminated Sites (NCS) (1992),• Système national de classification des lieux contaminés (SNCL) (1992),• Système de classification national pour les sites contaminés (NCS)(1992)
"July 1987 — The Single European Act enters into force, enhancing Parliament’s legislative powers.","Juillet 1987 — L’acte unique européen entre en vigueur, accroissant les pouvoirs législatifs du Parlement.",Janvier 1986 — L’Espagne et le Portugal adhèrent à la CEE.
The cost of a lightbox is usually between $200 and $400 (Cdn).,Le coût d’une lumière est généralement de 200 $ à 400 $ (Can.).,Le coût d’une boîte lumineuse peut varier entre 200$ et 400$ (CA).
Arranging Progress Markers Answers May 2007 Open file,Arranging Progress Markers Answers May 2007 Ouvrir le fichier,Arranging Progress Markers Answers May 2007 ouvrir le fichier
Special Advisor Investigations and Litigation Support Office Myra Conway,Avis spécial Services d’enquête et de défense en litige Myra Conway,Conseillère spéciale Bureau de soutien aux enquêtes et litiges M yra Conw ay
Sections 6 and 7 of the By-law are replaced by the following: 6.,Les articles 6 et 7 du règlement sont remplacés par les suivants : 6.,Les articles 6 et 7 du même règlement administratif sont remplacés par ce qui suit : 6.
Results of ongoing monitoring and assessment of program integrity.,Résultats de l'évaluation continue du programme et de la bonne intégrité du programme.,Résultats de la surveillance et de l’évaluation continues de l’intégrité du programme.
"• foodstuffs sold in bulk to the consumer, or","• les produits alimentaires vendus en vrac au consommateur, ou","• des denrées alimentaires vendues en vrac au consommateur,"
"However, the unemployment rate edged up from 6.4% in July to 6.5 % in August.","En revanche, le taux de chômage a augmenté de 6,4 % en juillet à 6,5 % en août.","Toutefois, le taux de chômage a légèrement grimpé, passant de 6,4 % en juillet à 6,5 % en août."
-----√ ----√ --√ -√ -Not significant,-----√ ----√ --√ -√ ----------,"Empiètement pour chacun des piliers = 260 m2, soit 520 m2 au total pour les deux piliers."
(c) Prior to 23 May 1997:,(c) Avant le 23 mai 1997 :,(a) En fin de semaine ; en début de semaine pour le Portugal.
Links are to the official NAICS Canada 2002 definition of each sector.,Les liens mènent à la définition officielle du SCIAN Canada 2002 de chaque secteur.,Les liens mènent à la définition de chaque secteur fournie dans le SCIAN Canada de 2002.
Canada has benefited immensely from its defence partnership with the United States over the years.,Le Canada a profité immensément de la coopération de défense avec les États-Unis au cours des années.,"Au fil des ans, le Canada a énormément bénéficié de son partenariat de défense avec les États-Unis."
"As a result, its use is controlled through the registration of users.","En conséquence, son utilisation est contrôlée par l'enregistrement des utilisateurs.","Par conséquent, son utilisation est contrôlée en émettant une autorisation aux utilisateurs."
Business Planning Application Data Form 2007-2008,Formulaire de données pour la planification de l'entreprise 2007-2008,Planification d’entreprise Demande d’aide financière de 2007-2008
The proposed changes were to apply to tax years that began after 2002.,Les modifications proposées s’appliqueraient aux années d’imposition qui commencent après 2002.,Ces modifications devaient s’appliquer aux années d’imposition débutant après 2002.
"H-3, para.","H-3, par.","H-3, art."
